manufacturer,sku,product_name,citation,pmcid,url,sentence
GeneCopoeia,hprm30328-pg02|hprm43732-pg02|hprm44587-pg02|hprm30507-pg02|hprm30308-pg02|hprm54815-pg02,GLuc-ON™ Promoter Reporter Clones: Promoter reporter clone for Human ABCA4(NM_000350)|GLuc-ON™ Promoter Reporter Clones: Promoter reporter clone for Human GUCY2F(NM_001522)|GLuc-ON™ Promoter Reporter Clones: Promoter reporter clone for Human RBP3(NM_002900)|GLuc-ON™ Promoter Reporter Clones: Promoter reporter clone for Human RHO(NM_000539)|GLuc-ON™ Promoter Reporter Clones: Promoter reporter clone for Human RS1(NM_000330)|GLuc-ON™ Promoter Reporter Clones: Promoter reporter clone for Human PDE6B(NM_000283),"Kwon J, et al. (2026). Streamlined synthetic regulatory cassette for efficient and photoreceptor-enriched retinal gene expression. Mol Ther Nucleic Acids [GLuc-ON™ Promoter Reporter Clones for Human ABCA4 (NM_000350), Cat. No. HPRM30328-PG02; GLuc-ON™ Promoter Reporter Clones for Human GUCY2F (NM_001522), Cat. No. HPRM43732-PG02; GLuc-ON™ Promoter Reporter Clones for Human RBP3 (NM_002900), Cat. No. HPRM44587-PG02; GLuc-ON™ Promoter Reporter Clones for Human RHO (NM_000539), Cat. No. HPRM30507-PG02; GLuc-ON™ Promoter Reporter Clones for Human RS1 (NM_000330), Cat. No. HPRM30308-PG02; GLuc-ON™ Promoter Reporter Clones for Human PDE6B (NM_000283), Cat. No. HPRM54815-PG02]",PMC13293694,https://europepmc.org/article/PMC/13293694,"Promoter-reporter plasmids were purchased from Genecopoeia (Rockville, MD, USA) and included the following: pABCA4-Gluc (HPRM30328-PG02), pGUCY2F-Gluc (HPRM43732-PG02), pRBP3-Gluc (HPRM44587-PG02), pRHO-Gluc (HPRM30507-PG02), pGRK1-Gluc (HRPM44605-PG02), pRS1-Gluc (HPRM30308-PG02), and pPDE6B-Gluc (HPRM54815-PG02)."
GeneCopoeia,sl515|sl523,GeneHero™ CRISPR-Cas9 stable cell lines|GeneHero™ CRISPR-Cas9 stable cell lines,"Wery C, et al. (2026). Stearoyl-CoA Desaturase-1 Drives Tumor Growth by Interacting With Histone Deacetylase-2 and Deacetylating Nucleophosmin-1. MedComm (2020) DOI: 10.1002/mco2.70809 [GeneHero™ CRISPR-Cas9 Stable Cell Lines, Cat. No. SL515; GeneHero™ CRISPR-Cas9 Stable Cell Lines, Cat. No. SL523]",PMC13260692,https://europepmc.org/article/PMC/13260692,"MDA‐MB231 (#SL515) and HT29 (#SL523) cell lines stably expressing CRISPR‐Cas9 nuclease were obtained after transgene transduction and selection by hygromycin at 500 mg/mL for MDA‐MB231 cells and 1 mg/mL for HT29 cells (GeneCopoeia, Maryland, USA)."
GeneCopoeia,lf004,Luc-Pair™ Duo-Luciferase HS Assay Kits (100rxns),"Liang M, et al. (2026). ZBTB18-mediated STAT1 transcriptional repression contributes to bovine myogenesis, implying an association with oxidative myofiber formation and beef eating quality. Food Chem (Oxf) DOI: 10.1016/j.fochms.2026.100423 [Luc-Pair™ Duo-Luciferase HS Assay Kits, Cat. No. LF004]",PMC13234228,https://europepmc.org/article/PMC/13234228,"Twenty-four hours after transfection, dual-luciferase activity was measured according to the instructions for the Dual-Luciferase Report Gene Assay Kit (GeneCopoeia, LF004, Guangzhou, China)."
GeneCopoeia,bi001,Biotin Protein Ligase,"Wang R, et al. (2026). Innovative peptide-loaded hybrid membrane nanovaccine enables precise personalized immunotherapy for HPV-related cervical diseases. Signal Transduct Target Ther DOI: 10.1038/s41392-026-02680-x [Biotin Protein Ligase, Cat. No. BI001]",PMC13233851,https://europepmc.org/article/PMC/13233851,"Once renatured, the peptide/HLA-A02:01 complexes were purified and subjected to biotinylation at 4°C for 12 h using D-biotin, ATP, and the BirA biotin protein ligase (GeneCopoeia, BI001)."
GeneCopoeia,ef013,EndoFectin™ Max transfection reagent (1ml),"Chattopadhyay A, et al. (2026). Microsomal triglyceride transfer protein restricts steroid production in Leydig cells by regulating SREBP2. iScience DOI: 10.1016/j.isci.2026.115817 [EndoFectin™ Max Transfection Reagent, Cat. No. EF013]",PMC13213752,https://europepmc.org/article/PMC/13213752,.r-project.org/package=dplyr Trim Galore (v0.6.7) Trim Galore; Babraham Bioinformatics https://www.bioinformatics.babraham.ac.uk/projects/trim_galore/ Bowtie2 (v2.4.2) Bowtie2; Johns Hopkins University http://bowtie-bio.sourceforge.net/bowtie2/index.shtml Samtools (v1.22.1) Samtools; Wellcome Sanger Institute http://www.htslib.org Picard MarkDuplicates Picard; Broad Institute https://broadinstitute.github.io/picard/ MACS2 (v2.2.7.1) MACS2; Zhang Lab https://github.com/macs3-project/MACS Bedtools (v2.31.0) multicov Bedtools; Aaron Quinlan Lab https://bedtools.readthedocs.io/en/latest/ ChIPseeker (v4.1.1) ChIPseeker; Bioconductor https://bioconductor.org/packages/ChIPseeker/ HOMER (v4.11) HOMER; Heinz Lab http://homer.ucsd.edu/homer/ findMotifsGenome.pl findMotifsGenome.pl; Heinz Lab http://homer.ucsd.edu/homer Other DMEM/F12 medium Fisher Scientific Cat# 11-330-032 Horse serum Thermo Fisher Scientific Cat# 16050122 Collagenase IV Gibco Cat# 17104-019 Endofectin Max transfection reagent Genecopoeia Cat# EF013 TRIzol reagent Thermo Fisher Scientific Cat# 15596018 RIPA buffer Thermo Fisher Scientific Cat# J63306.AP Protease inhibitor cocktail Sigma-Aldrich Cat# P2714 Phosphatase inhibitor cocktail Sigma-Aldrich Cat# P0044 Nitrocellulose membrane Amersham Cat# 10600002 Gelatin Merck Cat# G1393 Neon Transfection System Kit Thermo Fisher Scientific Cat# MPK1096 Protein A/G PLUS Agarose Santa Cruz Biotechnology Cat# sc-2003 Experimental model and study participant details Animals Male C57BL/6j mice (JAX: #000664) were purchased from the Jackson Laboratory.
GeneCopoeia,hmit162768-mt05|hmit159281-mt05|hmit148551-mt05|hmit167809-mt05|lf032,miTarget™ 3′ UTR miRNA Target Clones: miRNA 3´UTR target expression clone for Human VEGFA (NM_003376.6)|miTarget™ 3′ UTR miRNA Target Clones: miRNA 3´UTR target expression clone for Human MAPK1 (NM_002745.5)|miTarget™ 3′ UTR miRNA Target Clones: miRNA 3´UTR target expression clone for Human ELMO3 (NM_024712.5)|miTarget™ 3′ UTR miRNA Target Clones: miRNA 3´UTR target expression clone for Human TRIB1 (NM_025195.4)|Secrete-Pair™ Dual Luminescence Assay Kit (300 rxns),"Solly EL, et al. (2026). Inhibition of miR-181c-5p Rescues Diabetes-Impaired Angiogenesis in Ischemia and Wound Healing. Diabetes DOI: 10.2337/db24-0867 [miTarget™ 3′ UTR miRNA Target Clones for Human VEGFA (NM_003376.6), Cat. No. HMIT162768-MT05; miTarget™ 3′ UTR miRNA Target Clones for Human MAPK1 (NM_002745.5), Cat. No. HMIT159281-MT05; miTarget™ 3′ UTR miRNA Target Clones for Human ELMO3 (NM_024712.5), Cat. No. HMIT148551-MT05; miTarget™ 3′ UTR miRNA Target Clones for Human TRIB1 (NM_025195.4), Cat. No. HMIT167809-MT05; Secrete-Pair™ Dual Luminescence Assay Kit, Cat. No. LF032]",PMC13191406,https://europepmc.org/article/PMC/13191406,"Cells were cotransfected with 150 ng of pEZX-MT05 luciferase vectors (GeneCopoeia) containing the 3′ untranslated region (UTR) for VEGFA (HmiT162768-MT05), ERK2 (HmiT159281-MT05), ELMO3 (HmiT148551-MT05), or TRIB1 (HmiT167809-MT05), and either 20 nmol/L miRVana miRNA mimic for miR-181c-5p (4464066, Thermo Fisher Scientific) or a negative control (4464076, Thermo Fisher Scientific) for 24 h. After 72 h, luciferase activity was measured using the Secrete-Pair Dual Luminescence Assay Kit (LF032, GeneCopoeia) normalized to secreted alkaline phosphatase."
GeneCopoeia,ef013-s,EndoFectin™ Max transfection reagent (1ml),"Huang W, et al. (2026). SMAD7 Downregulation Promotes Ferroptosis in Pulmonary Arterial Hypertension Via the TGF-β1-SMAD2/3 Pathway. Shock DOI: 10.1097/shk.0000000000002832 [EndoFectin™ Max Transfection Reagent, Cat. No. EF013-S]",PMC13220938,https://europepmc.org/article/PMC/13220938,"According to the manufacturer’s instructions, transfections were carried out using EndoFectin Max transfection reagent (Genecopoeia, Guangzhou, China; EF013-S)."
GeneCopoeia,sl428,Immortalized cell line,"Robinson L, et al. (2026). Expression Profile and Role of the IGF2BP1-3 Genes During Human in vitro Osteogenic Differentiation. Cell Biochem Biophys DOI: 10.1007/s12013-026-02033-z [Immortalized Cell Line, Cat. No. SL428]",PMC13233644,https://europepmc.org/article/PMC/13233644,"Materials and Methods Cells and Culture for Cell Maintenance BM-MSCs were obtained from Genecopoeia (catalog number SL428, lot number G12CL5J1P13, Rockville, MD)."
GeneCopoeia,qp056,SureScript™ First-Strand cDNA Synthesis Kit for gene qPCR array (20 RT reactions),"Feng L, et al. (2026). SYT8 as a potential prognostic biomarker and therapeutic predictor in colorectal cancer: insights from multi-cohort transcriptomic analyses. Clin Transl Oncol DOI: 10.1007/s12094-025-04200-9 [SureScript™ First-Strand cDNA Synthesis Kit, Cat. No. QP056]",PMC13186822,https://europepmc.org/article/PMC/13186822,"Quantitative PCR (qPCR) Total RNA was extracted using Redzol Reagent (FTR-50, Sbsgenetech) and reverse-transcribed into cDNA with the SureScript™ First-Strand cDNA Synthesis Kit (QP056, GeneCopoeia)."
GeneCopoeia,mp004,Mycoplasma PCR detection kit (50 rxns),"Deng W, et al. (2026). Honokiol-loaded nanomicelles reprogram senescence and immune evasion in hepatocellular carcinoma via SIRT3-mediated mitochondrial stabilization. Bioeng Transl Med DOI: 10.1002/btm2.70111 [Mycoplasma PCR Detection Kit, Cat. No. MP004]",PMC13247405,https://europepmc.org/article/PMC/13247405,"Before initiating experiments, routine mycoplasma testing was conducted using the MycoGuard™ Mycoplasma PCR Detection Kit (Genecopoeia #MP004), and all cultures were verified to be free of mycoplasma contamination."
